,response_me,essentiality_me,response_m,essentiality_m,true_essentiality
BSU25660,-1.0,e,-1.0,e,e
BSU26860,0.0,0,0.0,0,0
BSU26970,0.0,0,0.0,0,0
BSU26390,-1.0,e,,,0
BSU27040,0.0,0,0.0,0,0
BSU27010,0.0,0,0.0,0,0
BSU27060,0.0,0,0.0,0,0
BSU27050,0.0,0,0.0,0,0
BSU27070,0.0,0,0.0,0,0
BSU27120,0.0,0,,,0
BSU27200,0.0,0,2.68192899259447e-11,0,0
BSU27220,0.0,0,0.0,0,0
BSU27250,-8.438422952510431e-05,0,-0.00021136775852031075,0,0
BSU27260,-8.438422952510431e-05,0,-0.00021136764463332438,0,0
BSU27270,0.0,0,-2.167311647530342e-10,0,0
BSU27330,0.0,0,-4.940520069977031e-07,0,0
BSU27440,0.0,0,0.0,0,0
BSU27430,0.0,0,0.0,0,0
BSU27450,0.0,0,0.0,0,0
BSU27460,0.0,0,0.0,0,0
BSU27600,0.0,0,5.3476351699521686e-11,0,0
BSU27610,0.0,0,-3.0459494379555636e-10,0,0
BSU27810,0.0,0,0.0,0,0
BSU27320,-1.0,e,,,0
BSU27550,-1.0,e,,,e
BSU27410,-1.0,e,,,e
BSU27560,-1.0,e,,,e
BSU27910,0.0,0,0.0,0,0
BSU27650,-1.0,e,,,0
BSU27860,-1.0,e,-1.0,e,0
BSU27850,-1.0,e,-0.9999999761153312,e,0
BSU28120,0.0,0,0.0,0,0
BSU27900,-1.0,e,-1.0,e,0
BSU27870,-1.0,e,-1.0,e,0
BSU28130,0.0,0,-4.509448539926975e-10,0,0
BSU27960,-1.0,e,,,e
