,flux
ALAt2r_FWD_BSU18120-MONOMER_s,0.0
ALAt2r_FWD_BSU27810-MONOMER,0.0
ALAt2r_FWD_BSU27810-MONOMER_s,0.0
ALCD19_L_FWD_BSU09530-MONOMER,0.0
ALCD19_L_FWD_BSU09530-MONOMER_s,0.0
ALCD19_L_FWD_BSU39780-MONOMER,0.0
ALCD19_L_FWD_BSU39780-MONOMER_s,0.0
ALCD19_L_REV_BSU09530-MONOMER,0.0
ALCD19_L_REV_BSU09530-MONOMER_s,0.0
ALCD19_L_REV_BSU39780-MONOMER,0.0
ALCD19_L_REV_BSU39780-MONOMER_s,0.0
ALCD19y_FWD_BSU09530-MONOMER,0.0
ALCD19y_FWD_BSU09530-MONOMER_s,0.0
ALCD19y_FWD_BSU39780-MONOMER,0.0
ALCD19y_FWD_BSU39780-MONOMER_s,0.0
ALCD19y_REV_BSU09530-MONOMER,0.0
ALCD19y_REV_BSU09530-MONOMER_s,0.0
ALCD19y_REV_BSU39780-MONOMER,0.0
ALCD19y_REV_BSU39780-MONOMER_s,0.0
ALCD2y_FWD_BSU26970-MONOMER,0.0
ALCD2y_FWD_BSU26970-MONOMER_s,0.0
ALCD2y_FWD_BSU27010-MONOMER,0.0
ALCD2y_FWD_BSU27010-MONOMER_s,2.2216094757845523e-37
ALCD2y_FWD_CPLX8J2-194,0.0
ALCD2y_FWD_CPLX8J2-194_s,0.0
ALCD2y_REV_BSU26970-MONOMER,0.0
ALCD2y_REV_BSU26970-MONOMER_s,0.0
ALCD2y_REV_BSU27010-MONOMER,3.9392480426915625e-37
ALCD2y_REV_BSU27010-MONOMER_s,0.0
ALCD2y_REV_CPLX8J2-194,0.0
ALCD2y_REV_CPLX8J2-194_s,0.0
ALDD10_FWD_BSU19310-MONOMER,0.0
ALDD10_FWD_BSU19310-MONOMER_s,0.0
ALDD10_FWD_BSU38830-MONOMER,0.0
ALDD10_FWD_BSU38830-MONOMER_s,0.0
ALDD10_FWD_BSU39860-MONOMER,0.0
ALDD10_FWD_BSU39860-MONOMER_s,0.0
ALDD11_FWD_BSU19310-MONOMER,0.0
ALDD11_FWD_BSU19310-MONOMER_s,0.0
ALDD11_FWD_BSU38830-MONOMER,0.0
ALDD11_FWD_BSU38830-MONOMER_s,0.0
ALDD11_FWD_BSU39860-MONOMER,0.0
ALDD11_FWD_BSU39860-MONOMER_s,0.0
ALDD12_FWD_BSU19310-MONOMER,0.0
ALDD12_FWD_BSU19310-MONOMER_s,0.0
ALDD12_FWD_BSU38830-MONOMER,0.0
ALDD12_FWD_BSU38830-MONOMER_s,0.0
ALDD12_FWD_BSU39860-MONOMER,0.0
ALDD12_FWD_BSU39860-MONOMER_s,0.0
ALDD13_FWD_BSU19310-MONOMER,0.0
ALDD13_FWD_BSU19310-MONOMER_s,0.0
ALDD13_FWD_BSU38830-MONOMER,0.0
ALDD13_FWD_BSU38830-MONOMER_s,0.0
ALDD13_FWD_BSU39860-MONOMER,0.0
ALDD13_FWD_BSU39860-MONOMER_s,0.0
ALDD14_FWD_BSU19310-MONOMER,0.0
ALDD14_FWD_BSU19310-MONOMER_s,0.0
ALDD14_FWD_BSU38830-MONOMER,0.0
ALDD14_FWD_BSU38830-MONOMER_s,0.0
ALDD14_FWD_BSU39860-MONOMER,0.0
ALDD14_FWD_BSU39860-MONOMER_s,0.0
ALDD15_FWD_BSU19310-MONOMER,0.0
ALDD15_FWD_BSU19310-MONOMER_s,0.0
ALDD15_FWD_BSU38830-MONOMER,0.0
ALDD15_FWD_BSU38830-MONOMER_s,0.0
ALDD15_FWD_BSU39860-MONOMER,0.0
ALDD15_FWD_BSU39860-MONOMER_s,0.0
ALDD16_FWD_BSU19310-MONOMER,0.0
ALDD16_FWD_BSU19310-MONOMER_s,0.0
ALDD16_FWD_BSU38830-MONOMER,0.0
ALDD16_FWD_BSU38830-MONOMER_s,0.0
ALDD16_FWD_BSU39860-MONOMER,0.0
ALDD16_FWD_BSU39860-MONOMER_s,0.0
ALDD17_FWD_BSU19310-MONOMER,0.0
ALDD17_FWD_BSU19310-MONOMER_s,0.0
ALDD17_FWD_BSU38830-MONOMER,0.0
ALDD17_FWD_BSU38830-MONOMER_s,0.0
ALDD17_FWD_BSU39860-MONOMER,0.0
ALDD17_FWD_BSU39860-MONOMER_s,0.0
ALDD18_FWD_BSU19310-MONOMER,0.0
ALDD18_FWD_BSU19310-MONOMER_s,0.0
ALDD18_FWD_BSU38830-MONOMER,0.0
ALDD18_FWD_BSU38830-MONOMER_s,0.0
ALDD18_FWD_BSU39860-MONOMER,0.0
ALDD18_FWD_BSU39860-MONOMER_s,0.0
ALDD1_FWD_BSU19310-MONOMER,0.0
ALDD1_FWD_BSU19310-MONOMER_s,0.0
ALDD1_FWD_BSU38830-MONOMER,0.0
ALDD1_FWD_BSU38830-MONOMER_s,0.0
ALDD1_FWD_BSU39860-MONOMER,0.0
ALDD1_FWD_BSU39860-MONOMER_s,0.0
ALDD20x_1_FWD_BSU19310-MONOMER,0.0
ALDD20x_1_FWD_BSU19310-MONOMER_s,0.0
ALDD20x_1_FWD_BSU38830-MONOMER,0.0
ALDD20x_1_FWD_BSU38830-MONOMER_s,0.0
ALDD20x_1_FWD_BSU39860-MONOMER,0.0
ALDD20x_1_FWD_BSU39860-MONOMER_s,0.0
ALDD2x_FWD_BSU19310-MONOMER,0.0
ALDD2x_FWD_BSU19310-MONOMER_s,0.0
ALDD2x_FWD_BSU38830-MONOMER,0.0
ALDD2x_FWD_BSU38830-MONOMER_s,0.0
ALDD2x_FWD_BSU39860-MONOMER,0.0
ALDD2x_FWD_BSU39860-MONOMER_s,0.0
ALDD31_1_FWD_BSU19310-MONOMER,0.0
ALDD31_1_FWD_BSU19310-MONOMER_s,0.0
ALDD31_1_FWD_BSU38830-MONOMER,0.0
ALDD31_1_FWD_BSU38830-MONOMER_s,2.4723620678634887e-36
